序号,井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B,进尺命中率
55,大页1H2-2,SD6548BY,PDC,311.2,渤海中成,复合钻进,2024-11-18,1,沙溪庙组~须家河组,1702.0,2433.0,731.0,44.0,16.61,1.25,0~140,0~70,0~18,15~18,沙溪庙组,须家河组,0.0,140.0,0.0,70.0,0.0,18.0,15.0,18.0,1.0
56,大页1H2-2,ES1656TEU/S423,PDC,311.2,亿斯达,复合钻进,2024-11-23,1,须家河组~须家河组,2433.0,2666.0,233.0,42.0,5.55,1.2,160~160,60~60,53~15,15~15,须家河组,须家河组,160.0,160.0,60.0,60.0,53.0,15.0,15.0,15.0,1.0
57,大页1H2-2,ES1656TEU/S423,PDC,311.2,亿斯达,复合钻进,2024-11-26,1,须家河组~嘉陵江组,2666.0,3166.12,500.12,98.5,5.08,1.37,40~180,0~60,50~25,14~25,须家河组,嘉陵江组,40.0,180.0,0.0,60.0,50.0,25.0,14.0,25.0,1.0
58,大页1H2-2,SD6542BF,PDC,311.2,渤海中成,复合钻进,2024-12-06,1,嘉陵江组~飞仙关组,3166.12,4260.0,1093.88,117.5,9.31,1.48,120~180,60~70,50~22,20~22,嘉陵江组,飞仙关组,120.0,180.0,60.0,70.0,50.0,22.0,20.0,22.0,1.0
59,大页1H2-2,DD505VSX,PDC,215.9,贝克休斯,复合钻进,2024-12-26,1,飞仙关组~大隆组,4260.0,4717.0,457.0,42.0,10.88,2.06,100~140,50~70,30~37,35~37,飞仙关组,大隆组,100.0,140.0,50.0,70.0,30.0,37.0,35.0,37.0,1.0
60,大页1H2-2,DD505VSX,PDC,215.9,贝克休斯,欠平衡,2025-01-07,1,大隆组~吴家坪组,4717.0,4849.7,132.7,49.0,2.71,2.0,80~120,40~50,32~38,35~38,大隆组,吴家坪组,80.0,120.0,40.0,50.0,32.0,38.0,35.0,38.0,1.0
61,大页1H2-2,TS619,PDC,660.4,百施特,顶驱钻,2024-08-28,1,沙溪庙组~沙溪庙组,0.0,50.0,50.0,3.5,14.28,1.06,20~20,60~60,60~2,2~2,沙溪庙组,沙溪庙组,20.0,20.0,60.0,60.0,60.0,2.0,2.0,2.0,1.0
62,大页1H2-2,TK66,PDC,215.9,NOV,欠平衡,2025-01-14,1,吴家坪组~吴家坪组,4849.7,5005.0,155.3,38.0,4.09,2.0,100~120,50~55,30~29,27~29,吴家坪组,吴家坪组,100.0,120.0,50.0,55.0,30.0,29.0,27.0,29.0,1.0
63,大页1H2-2,DD505VSX,PDC,215.9,贝克休斯,欠平衡,2025-01-20,1,吴家坪组~吴家坪组,5005.0,6785.0,1780.0,182.5,9.75,1.98,100~160,70~80,30~35.3,34~35.3,吴家坪组,吴家坪组,100.0,160.0,70.0,80.0,30.0,35.3,34.0,35.3,1.0
64,大页1H2-2,TS516,PDC,444.5,百施特,螺杆钻进,2024-08-30,1,沙溪庙组~沙溪庙组,50.0,990.0,940.0,63.0,14.92,1.15,100~200,60~70,70~18,10~18,沙溪庙组,沙溪庙组,100.0,200.0,60.0,70.0,70.0,18.0,10.0,18.0,1.0
65,大页1H2-3,ES1655EL,PDC,311.2,亿斯达,复合钻进,2024-12-02,1,沙溪庙组~沙溪庙组,502.0,1749.0,1247.0,83.0,15.02,1.15,20.4~150,0~60,40.1~12,8.1~12,沙溪庙组,沙溪庙组,20.4,150.0,0.0,60.0,40.1,12.0,8.1,12.0,1.0
66,大页1H2-3,ES1655EL,PDC,311.2,武汉亿斯达,复合钻进,2024-12-09,1,沙溪庙组~须家河组,1749.0,2655.25,906.25,103.0,8.8,1.2,100~180,60~70,55~18.5,15~18.5,沙溪庙组,须家河组,100.0,180.0,60.0,70.0,55.0,18.5,15.0,18.5,1.0
67,大页1H2-3,ES1656TEU/S423,PDC,311.2,亿斯达,螺杆钻进,2024-12-16,1,须家河组~须家河组,2655.25,2917.0,261.75,45.0,5.82,1.2,146.9~180,60~64,50~19.8,17~19.8,须家河组,须家河组,146.9,180.0,60.0,64.0,50.0,19.8,17.0,19.8,1.0
68,大页1H2-3,HS5164BS,PDC,311.2,惠灵丰,螺杆钻进,2024-12-16,1,雷口坡组~嘉二3段,2917.0,3513.0,596.0,38.33,15.55,1.25,120~200,60~70,55~19.8,18.5~19.8,雷口坡组,嘉二3段,120.0,200.0,60.0,70.0,55.0,19.8,18.5,19.8,1.0
