井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B
大页1H2-4,TS516,PDC,311.20,百施特,螺杆钻进,2024-09-28,1,嘉三段~嘉二2段,3386.67,3611.85,225.18,40.55,5.55,1.40,20~120,40~50,55~25,24~25,嘉三段,嘉二2段,20,120,40,50,55,25,24,25
大页1H2-4,TS516,PDC,311.20,百施特,复合钻进,2024-10-11,1,嘉二2段~嘉二2段,3611.85,3671.20,59.35,9.50,6.25,1.45,0~130,20~50,10~24,3~24,嘉二2段,嘉二2段,0,130,20,50,10,24,3,24
大页1H2-4,TS516,PDC,311.20,百施特,螺杆钻进,2024-10-20,1,嘉二1段~飞三段,3671.20,4332,660.80,92.83,7.12,1.45,20~150,20~72,20~23.5,12~23.5,嘉二1段,飞三段,20,150,20,72,20,23.5,12,23.5
大页1H2-4,SD6532,PDC,215.90,渤海中成,顶驱钻,2025-01-01,1,飞三段~飞三段,4332,4347,15,2.67,5.62,1.53,120~160,60~70,28~24.3,22~24.3,飞三段,飞三段,120,160,60,70,28,24.3,22,24.3
大页1H2-4,SD516,PDC,660.40,中成,顶驱钻,2024-08-09,1,沙溪庙组~沙溪庙组,0,50,50,3,16.67,1.07,60~80,60~60,70~12,8~12,沙溪庙组,沙溪庙组,60,80,60,60,70,12,8,12
大页1H2-4,DD505VSX,PDC,215.90,贝克休斯,螺杆钻进,2025-01-05,1,飞三段~吴家坪组,4347,5082.14,735.14,131.33,5.60,1.90,140~160,70~80,27~30,27~30,飞三段,吴家坪组,140,160,70,80,27,30,27,30
大页1H2-4,JT537GK,牙轮,444.50,宝石机械,顶驱钻,2024-08-11,1,沙溪庙组~沙溪庙组,50,55,5,2,2.50,1.07,14~140,60~60,70~80,6~80,沙溪庙组,沙溪庙组,14,140,60,60,70,80,6,80
大页1H2-4,DD505VXS,PDC,215.90,贝克休斯,复合钻进,2025-01-15,1,吴家坪组~吴家坪组,5082.14,6291,1208.86,171,7.07,1.90,120~140,70~80,28~30,28~30,吴家坪组,吴家坪组,120,140,70,80,28,30,28,30
大页1H2-4,DD505VSX,PDC,215.90,贝克休斯,复合钻进,2025-01-28,1,吴家坪组~吴家坪组,6291,6975,684,79.50,8.60,1.90,120~140,70~80,28~38,33~38,吴家坪组,吴家坪组,120,140,70,80,28,38,33,38
大页1H3-1,SD6542B,PDC,311.20,渤海中成,复合钻进,2024-12-03,1,沙二段~沙二段,509,1642.87,1133.87,84,13.50,1.33,120~180,30~60,45~20.5,8~20.5,沙二段,沙二段,120,180,30,60,45,20.5,8,20.5
大页1H3-1,SD6542B,PDC,311.20,渤海中成,复合钻进,2024-12-09,1,凉下段~须六段,1642.87,2306,663.13,58,11.43,1.33,180~180,45~50,55~22,20.5~22,凉下段,须六段,180,180,45,50,55,22,20.5,22
大页1H3-1,ES1656TE,PDC,311.20,武汉亿斯达,复合钻进,2024-12-13,1,须六段~雷五段,2306,2725,419,110.50,3.79,1.33,180~200,40~50,50.9~18.5,16~18.5,须六段,雷五段,180,200,40,50,50.9,18.5,16,18.5
